word,JJ-0,NN-0
one,0,1
also,0,0
said,0,0
all,0,0
new,1,0
two,0,0
time,0,1
many,0,0
like,0,0
people,0,1
used,1,0
may,0,0
years,0,0
oh,0,0
will,0,0
world,0,1
well,0,1
see,0,0
now,0,0
okay,0,0
states,0,0
year,0,1
state,0,1
use,0,0
right,1,0
called,0,0
go,0,0
made,0,0
government,0,1
city,0,1
war,0,1
known,1,0
however,0,0
united,1,0
later,1,0
get,0,0
just,0,0
since,0,0
work,0,1
part,0,1
including,0,0
early,1,0
want,0,0
number,0,1
century,0,1
system,0,1
put,0,0
yeah,0,0
make,0,0
high,1,0
became,0,0
good,1,0
school,0,1
national,1,0
much,0,0
another,0,0
back,0,1
american,1,1
around,0,0
even,1,0
found,0,0
know,0,0
often,0,0
little,1,0
several,0,0
day,0,1
group,0,1
country,0,1
life,0,1
think,0,0
water,0,1
let,0,0
way,0,1
name,0,1
still,0,0
look,0,0
long,1,0
based,0,0
different,1,0
come,0,0
take,0,0
although,0,0
south,1,0
say,0,0
according,0,0
million,0,0
last,1,0
president,0,1
university,0,1
example,0,1
large,1,0
north,1,0
old,1,0
end,0,1
book,0,1
history,0,1
form,0,1
set,0,1
home,0,1
among,0,0
include,0,0
public,1,0
began,0,0
law,0,1
film,0,1
general,1,1
major,1,0
using,0,0
following,1,0
play,0,1
going,0,0
power,0,1
party,0,1
house,0,1
us,0,0
area,0,1
children,0,0
population,0,1
international,1,0
small,1,0
within,0,0
british,1,0
great,1,0
game,0,1
language,0,1
music,0,1
series,0,1
military,1,0
due,0,0
family,0,1
modern,1,0
common,1,0
students,0,0
though,0,0
big,1,0
political,1,0
help,0,1
important,1,0
place,0,1
led,0,0
period,0,1
took,0,0
english,1,0
show,0,1
got,0,0
team,0,1
death,0,1
without,0,0
john,0,0
left,1,0
air,0,1
king,0,1
less,0,0
times,0,0
west,1,0
members,0,0
countries,0,0
company,0,1
white,1,0
support,0,1
french,1,0
women,0,0
term,0,1
order,0,1
church,0,1
become,0,0
human,1,1
need,0,0
non,1,0
along,0,0
black,1,0
late,1,0
development,0,1
point,0,1
german,1,0
study,0,1
came,0,0
control,0,1
east,1,0
every,0,0
man,0,1
given,0,0
food,0,1
others,0,0
considered,1,0
next,1,0
says,0,0
european,1,0
local,1,0
army,0,1
must,0,0
line,0,1
published,1,0
research,0,1
men,0,0
service,0,1
space,0,1
age,0,1
usually,0,0
court,0,1
popular,1,0
force,0,1
central,1,0
case,0,1
held,0,0
wrote,0,0
main,1,0
change,0,1
today,0,0
best,1,0
island,0,1
largest,0,0
making,0,0
single,1,0
europe,0,1
similar,1,0
developed,1,0
released,1,0
free,1,0
away,0,0
groups,0,0
included,1,0
sometimes,0,0
york,0,0
land,0,1
program,0,1
social,1,0
various,0,0
money,0,1
percent,0,0
works,0,0
give,0,0
might,0,0
union,0,1
ii,0,0
never,0,0
red,1,0
games,0,0
western,1,0
open,1,0
light,0,1
former,1,0
yes,0,0
systems,0,0
wanna,0,0
areas,0,0
together,0,0
head,0,1
per,0,0
region,0,1
something,0,1
better,1,0
production,0,1
field,0,1
went,0,0
days,0,0
near,1,0
half,1,0
named,0,0
result,0,1
forces,0,0
find,0,0
process,0,1
roman,1,0
sea,0,1
china,0,1
body,0,1
original,1,0
science,0,1
theory,0,1
education,0,1
economic,1,0
low,1,0
top,1,0
thus,0,0
role,0,1
march,0,1
season,0,1
established,1,0
energy,0,1
river,0,1
health,0,1
thought,0,1
written,1,0
young,1,0
information,0,1
seen,0,0
instead,0,0
either,0,0
species,0,1
rather,0,0
data,0,1
side,0,1
word,0,1
created,1,0
almost,0,0
center,0,1
produced,0,0
built,1,0
god,0,1
rights,0,0
things,0,0
live,1,0
earth,0,1
june,0,0
far,1,0
level,0,1
full,1,0
schools,0,0
act,0,1
january,0,0
america,0,1
possible,1,0
across,0,0
mommy,0,0
least,0,0
especially,0,0
college,0,1
br,0,0
total,1,0
described,1,0
father,0,1
germany,0,1
hand,0,1
natural,1,0
december,0,0
october,0,0
september,0,0
july,0,0
story,0,1
really,0,0
art,0,1
played,1,0
received,1,0
working,1,0
middle,1,0
means,0,0
car,0,1
able,1,0
died,1,0
council,0,1
special,1,0
short,1,0
huh,0,0
france,0,1
present,1,0
won,0,0
turn,0,1
higher,0,0
class,0,1
generally,0,0
real,1,0
empire,0,1
run,0,0
started,0,0
community,0,1
april,0,0
outside,1,0
baby,0,1
person,0,1
type,0,1
building,0,1
continued,1,0
eat,0,0
november,0,0
california,0,0
standard,1,0
parts,0,0
northern,1,0
office,0,1
enough,0,0
soviet,1,0
son,0,1
police,0,1
chinese,1,0
languages,0,0
foreign,1,0
close,1,0
movement,0,1
member,0,1
band,0,1
england,0,1
trade,0,1
southern,1,0
lost,1,0
park,0,1
version,0,1
already,0,0
august,0,0
scientists,0,0
read,0,0
night,0,1
throughout,0,0
kingdom,0,1
saw,0,0
range,0,1
society,0,1
addition,0,1
done,0,0
civil,1,0
numbers,0,0
league,0,1
religious,1,0
animals,0,0
design,0,1
months,0,0
aha,0,0
born,0,0
business,0,1
gave,0,0
federal,1,0
television,0,1
culture,0,1
project,0,1
problem,0,1
whose,0,0
lower,1,0
mother,0,1
tell,0,0
taken,0,0
significant,1,0
official,1,0
computer,0,1
position,0,1
available,1,0
william,0,0
whether,0,0
final,1,0
